Timestamp,FlowID
17:08:24423,1944548703
17:08:24422,-594253672
17:08:24424,-1002971663
17:08:24426,1446804197
17:08:24427,-1963573066
17:08:24428,571256099
17:08:24429,1909033135
17:08:24442,-1684419656
17:08:24442,-1967142116
17:08:24444,-534157740
17:08:24444,380939451
17:08:24445,379862279
17:08:24445,1983761877
17:08:24446,1301428813
17:08:24446,-574941619
17:08:24447,-2097075929
17:08:24447,1443562848
17:08:24447,632135989
17:08:24447,-462652296
17:08:24448,-1183822258
17:08:24448,912186651
17:08:24448,-1786761133
17:08:24450,1701965286
17:08:24450,-625895236
17:08:24450,-2121953762
17:08:24450,-791621395
17:08:24450,-1836301218
17:08:24450,427079840
17:08:24450,-1734740177
17:08:24450,1966650103
17:08:24450,-63316122
17:08:24452,201248357
17:08:24452,-292955716
17:08:24452,-1919042565
17:08:24452,-121006760
17:08:24452,838115659
17:08:24452,-703218143
17:08:24452,255549132
17:08:24452,-51766606
17:08:25236,-1709777667
17:08:25237,1961246925
17:08:25260,-636361269
17:08:25303,-472631107
17:08:25304,-1096400935
17:08:25321,-1654072019
17:08:25323,-1234514800
17:08:25324,1421740133
17:08:25326,-2125647846
17:08:25328,-109316948
17:08:25331,-16088728
17:08:25336,1423134440
17:08:25341,115019115
17:08:25343,-395501034
17:08:25344,1423316708
17:08:25344,559612514
17:08:25362,80917812
17:08:25367,1327953369
17:08:25369,1853466609
17:08:25369,1974326348
17:08:25371,-222835920
17:08:25371,-1834610175
17:08:25371,992585516
17:08:25372,1439456386
17:08:25393,2020993583
17:08:25393,1652884980
17:08:25394,267415342
17:08:25398,480402941
17:08:25399,353034676
17:08:25399,61328248
17:08:25399,755261018
17:08:25400,323460431
17:08:25401,-1864232995
17:08:25401,-388087771
17:08:25402,-104448834
17:08:25402,1130208196
17:08:25402,-300965973
17:08:25402,-1978698676
17:08:25402,-768399677
17:08:25403,2028906982
17:08:25403,-1281369732
17:08:25404,1258492938
17:08:25404,-559462480
17:08:25413,1290353605
17:08:25414,-1964339414
17:08:25414,1822182537
17:08:25414,222550096
17:08:25414,1525589211
17:08:25414,1684931878
17:08:25415,1946649335
17:08:25415,862578766
17:08:25415,-23440061
17:08:25415,-1185582275
17:08:25415,1463849345
17:08:25415,-1069871683
17:08:25415,1322881855
17:08:25417,-1919664654
17:08:25421,1185926758
17:08:25421,1532421183
17:08:25422,-1431408215
17:08:25422,-1524839835
17:08:25422,-209254746
