Timestamp,FlowID
17:08:24424,1944548703
17:08:24424,-594253672
17:08:24424,-1002971663
17:08:24429,1446804197
17:08:24429,-1963573066
17:08:24429,571256099
17:08:24429,1909033135
17:08:24444,-1684419656
17:08:24444,-1967142116
17:08:24444,-534157740
17:08:24444,380939451
17:08:24445,379862279
17:08:24445,1983761877
17:08:24446,1301428813
17:08:24446,-574941619
17:08:24448,-2097075929
17:08:24448,1443562848
17:08:24448,632135989
17:08:24448,-462652296
17:08:24449,-1183822258
17:08:24449,912186651
17:08:24449,-1786761133
17:08:24452,1701965286
17:08:24452,-625895236
17:08:24452,-2121953762
17:08:24452,-791621395
17:08:24452,-1836301218
17:08:24452,427079840
17:08:24452,-1734740177
17:08:24452,1966650103
17:08:24452,-63316122
17:08:24453,201248357
17:08:24453,-292955716
17:08:24453,-1919042565
17:08:24454,-121006760
17:08:24454,255549132
17:08:24454,-51766606
17:08:24454,-703218143
17:08:24454,838115659
17:08:25237,-1709777667
17:08:25238,1961246925
17:08:25261,-636361269
17:08:25305,-1096400935
17:08:25305,-472631107
17:08:25322,-1654072019
17:08:25323,-1234514800
17:08:25325,1421740133
17:08:25326,-2125647846
17:08:25329,-109316948
17:08:25331,-16088728
17:08:25337,1423134440
17:08:25342,115019115
17:08:25344,-395501034
17:08:25360,559612514
17:08:25361,1423316708
17:08:25363,80917812
17:08:25368,1327953369
17:08:25369,1853466609
17:08:25369,1974326348
17:08:25372,-222835920
17:08:25372,-1834610175
17:08:25372,992585516
17:08:25372,1439456386
17:08:25393,2020993583
17:08:25394,1652884980
17:08:25394,267415342
17:08:25399,480402941
17:08:25399,353034676
17:08:25400,61328248
17:08:25400,755261018
17:08:25401,323460431
17:08:25401,-1864232995
17:08:25401,-388087771
17:08:25402,-104448834
17:08:25402,1130208196
17:08:25402,-300965973
17:08:25402,-1978698676
17:08:25403,-768399677
17:08:25403,2028906982
17:08:25404,-1281369732
17:08:25404,1258492938
17:08:25404,-559462480
17:08:25414,1290353605
17:08:25415,-1964339414
17:08:25415,1822182537
17:08:25415,222550096
17:08:25415,1525589211
17:08:25415,1684931878
17:08:25417,1946649335
17:08:25417,862578766
17:08:25417,-23440061
17:08:25417,-1185582275
17:08:25417,1463849345
17:08:25417,-1069871683
17:08:25417,1322881855
17:08:25417,-1919664654
17:08:25422,1185926758
17:08:25422,1532421183
17:08:25422,-1431408215
17:08:25423,-209254746
17:08:25423,-1524839835
17:08:25423,-1847671547
17:08:25425,-1694728516
17:08:25426,-1613420218
17:08:25428,1773265715
17:08:25429,-1180219895
17:08:25429,-1253251724
17:08:25444,373597510
17:08:25444,818902812
17:08:25444,-1648329400
17:08:25444,1294225261
17:08:25445,-1439767305
17:08:25445,74827093
17:08:25446,-64449354
17:08:25446,1337506888
17:08:25448,-1188585296
17:08:25448,-1580631334
17:08:25448,2044541387
17:08:25448,2109384654
17:08:25448,-1145544345
17:08:25449,-189570380
17:08:25449,446309123
17:08:25450,2099994619
17:08:25451,-1259984490
17:08:25452,1999346092
17:08:25452,1603278269
17:08:25452,-39746304
17:08:25452,2056970104
17:08:25452,1748079406
17:08:25452,-348695851
17:08:25452,1842657172
17:08:25452,-1843982600
17:08:25453,-64473275
17:08:25453,917655281
17:08:25453,-1412768441
17:08:25453,395650335
17:08:25453,-305485987
17:08:25453,1644735601
17:08:25453,759985606
17:08:26239,-1650187008
17:08:26239,-1626723881
17:08:26261,-121600232
17:08:26302,-498991446
17:08:26305,705716237
17:08:26322,1625302477
17:08:26323,-441296845
17:08:26324,1321512643
17:08:26327,-318115023
17:08:26328,942001572
17:08:26330,-548420585
17:08:26337,1097828901
17:08:26341,790103133
17:08:26344,-71191512
17:08:26345,1510201793
17:08:26345,1934349174
17:08:26363,-9346570
17:08:26367,727630232
17:08:26368,-2005675967
17:08:26369,-1740518457
17:08:26371,1328901985
17:08:26371,-1744470827
17:08:26372,-2070152350
17:08:26373,-783355933
17:08:26393,-148414480
17:08:26394,883263112
17:08:26395,2107777114
17:08:26400,-196772317
17:08:26400,2103770591
17:08:26401,-1567585224
17:08:26401,1987398727
17:08:26402,1524357214
17:08:26402,995357253
17:08:26402,2021432963
17:08:26402,377614599
17:08:26403,-320845962
17:08:26403,-1971279543
17:08:26403,-1039693400
17:08:26404,929106765
17:08:26404,-1445041486
17:08:26405,-318706880
17:08:26405,329040007
17:08:26405,396224582
17:08:26414,1049051201
17:08:26416,1237417346
17:08:26416,-988227466
17:08:26416,677473195
17:08:26416,-1052938655
17:08:26416,-1451671965
17:08:26417,-167926411
17:08:26417,-1960668810
17:08:26417,2058787355
17:08:26417,1227267274
17:08:26417,2013680259
17:08:26417,2041732815
17:08:26417,335692792
17:08:26418,135478047
17:08:26422,1876297522
17:08:26422,-185143261
17:08:26423,1235490764
17:08:26423,-447946549
17:08:26423,1570358040
17:08:26424,1074290489
17:08:26425,-592820182
17:08:26426,-1590273785
17:08:26429,1827702090
17:08:26429,1890046435
17:08:26430,-1998850306
17:08:26444,1956311452
17:08:26444,-1159287388
17:08:26444,-1846379968
17:08:26445,1548118692
17:08:26445,679194762
17:08:26446,-1999727600
17:08:26446,-1957197792
17:08:26447,1625188009
17:08:26448,-630530451
17:08:26448,1870073551
17:08:26448,-690229267
17:08:26448,-1783176821
17:08:26448,1289761307
17:08:26449,1788940477
17:08:26449,992260163
17:08:26450,278703783
17:08:26451,-402064887
17:08:26451,1082726038
17:08:26451,2060685761
17:08:26451,-1561162108
17:08:26451,1290727974
17:08:26451,-2115899145
17:08:26451,1576977512
17:08:26451,888977114
17:08:26452,314699529
17:08:26453,-2033628584
17:08:26453,-1823723546
17:08:26453,68943004
17:08:26453,-2110558338
17:08:26453,-763386571
17:08:26453,2035300307
17:08:26453,-1770581098
17:08:27238,-1258220951
17:08:27238,1149090553
17:08:27262,-1867883200
17:08:27303,1527023142
17:08:27306,180007374
17:08:27322,649862808
17:08:27323,1162531431
17:08:27324,803909721
17:08:27327,-83532030
17:08:27330,829115255
17:08:27331,-555041231
17:08:27336,-158031103
17:08:27342,2145643823
17:08:27344,1332046917
17:08:27346,-1630228653
17:08:27346,1652190395
17:08:27364,-34998969
17:08:27368,-209943902
17:08:27368,-1345359626
17:08:27369,-623466462
17:08:27372,-2089619961
17:08:27373,-979007959
17:08:27373,-1829139197
17:08:27374,749980526
17:08:27393,-304916436
17:08:27396,-578826630
17:08:27396,-2118059800
17:08:27400,-1521301750
17:08:27400,182198994
